Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Instrument
500046,Best & Crompton Engineering Ltd.,BECREL,Best & Crompton Engineering Ltd,Delisted,Z ,10.00,INE287A01015,Equity,,,,,
500047,Beta Napthol Limited,BETANAP,Beta Napthol Ltd,Delisted,Z ,10.00,NA          ,Equity,,,,,
500048,BEML Ltd,BEML,BEML Ltd,Active,A ,5.00,INE258A01024,Equity,,,,,
500049,Bharat Electronics Ltd.,BEL,Bharat Electronics Ltd,Active,A ,1.00,INE263A01024,Equity,,,,,
500050,"Bharat Rasayan Ltd.,",BHARATRA,Bharat Rasayan Ltd,Delisted,T ,10.00,INE838B01013,Equity,,,,,
500051,Bhagawati Gas Limited,BHAGGAS,Bhagawati Gas Ltd,Active,XT,10.00,INE099C01010,Equity,,,,,
500052,Bhansali Engineering Polymers Ltd.,BEPL,Bhansali Engineering Polymers Ltd-$,Active,B ,1.00,INE922A01025,Equity,,,,,
500053,Bharat Zinc Limited,BHAZINC,Bharat Zinc Ltd,Delisted,Z ,10.00,NA          ,Equity,,,,,
500054,Bharti Telecom Ltd.(Delisted for Takeover-21(3a)),BHRTITE-B,BHRTITE-B,Delisted,Z ,10.00,NA          ,Equity,,,,,
500055,TATA STEEL BSL LIMITED,TATASTLBSL,Tata Steel Bsl Ltd,Delisted,T ,2.00,INE824B01021,Equity,,,,,
500056,Mastergrowth - 93 (Scheme Of UTI),UTIMRDM,UTI Master Growth 93,Delisted,B ,10.00,INF189A01046,Equity,,,,,
500057,Aditya Birla Chemicals (India) Limited,ABCIL,Aditya Birla Chemicals (India) Ltd,Delisted,B ,10.00,INE605B01016,Equity,,,,,
500058,Bihar Sponge Iron Ltd,BIHSPONG,Bihar Sponge Iron Ltd,Active,X ,10.00,INE819C01011,Equity,,,,,
500059,BIL VYAPAR LIMITED,BILVYAPAR,Bil Vyapar Ltd,Active,T ,10.00,INE071A01013,Equity,,,,,
500060,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,T ,10.00,INE800A01015,Equity,,,,,
500061,Andhra Valley Power Supply Company,ANVALDM,Andhra Valley Power Supply Co Ltd,Delisted,B ,10.00,INE247A01019,Equity,,,,,
500062,Ashok Leyland Finance Ltd.,ASHOKLEYFIN,Ashok Leyland Finance Ltd,Delisted,B ,10.00,INE251A01011,Equity,,,,,
500063,Oswal Chemicals & Fertilizers Ltd,OSWALCHEM,Oswal Chemicals & Fertilizers Ltd,Delisted,B ,10.00,INE143A01010,Equity,,,,,
500064,Birla Global Finance Ltd.,BGFL,Birla Global Finance Ltd,Delisted,B ,10.00,INE097A01018,Equity,,,,,
500067,Blue Star Ltd,BLUESTARCO,Blue Star Ltd,Active,A ,2.00,INE472A01039,Equity,,,,,
500068,Disa India Ltd.,DISAQ,Disa India Ltd,Active,B ,10.00,INE131C01011,Equity,,,,,
500069,QUEST CAPITAL MARKETS LIMITED,QUESTCAP,Quest Capital Markets Ltd,Active,X ,10.00,INE418C01012,Equity,,,,,
500070,Bank Of Punjab Ltd.,BOP,Bank of Punjab Ltd,Delisted,B ,10.00,INE458A01012,Equity,,,,,
500072,Bongaingaon Refinery & Petrochemica,BONGAIREFN,Bongaigaon Refinery & Petrochemicals Ltd,Delisted,B ,10.00,INE241A01012,Equity,,,,,
500073,BPL Engineering Ltd.,BPLENG,BPL Engineering Ltd,Delisted,B ,10.00,INE108A01013,Equity,,,,,
500074,BPL Ltd.,BPL,BPL Ltd,Active,B ,10.00,INE110A01019,Equity,,,,,
500075,Nagarjuna Fertiliser & Chem. Ltd.,NAGARFER,Nagarjuna Fertilizers and Chemicals Ltd,Delisted,B ,10.00,INE580A01013,Equity,,,,,
500076,"Burroughs Wellcome (India) Ltd.,",BURROWEL,Burroughs Wellcome (India) Ltd,Delisted,B ,10.00,INE157A01010,Equity,,,,,
500077,Cable Corporation of India Ltd.,CCI,Cable Corporation of India Ltd,Delisted,B ,10.00,INE475A01016,Equity,,,,,
500078,ORIENTAL AROMATICS LIMITED,OAL,Oriental Aromatics Ltd-$,Active,B ,5.00,INE959C01023,Equity,,,,,
500079,Carrier Aircon Ltd,CARIR,Carrier Aircon Ltd,Delisted,B ,10.00,INE480A01016,Equity,,,,,
500080,Cauvery Software Engg. Systems Ltd.,CAUVERSOFT,Cauvery Software Engineering Systems Ltd,Delisted,B ,10.00,INE466B01013,Equity,,,,,
500081,Celeste International Ltd.,CELEINT,Celeste International Ltd,Delisted,Z ,10.00,NA          ,Equity,,,,,
500082,Centak Chemicals Ltd.,CENCHDM,Centak Chemicals Ltd,Delisted,B ,10.00,INE942A01015,Equity,,,,,
500083,Century Extrusions Ltd.,CENTEXT,Century Extrusions Ltd,Active,B ,1.00,INE281A01026,Equity,,,,,
500084,CESC Limited,CESC,CESC Ltd,Active,A ,1.00,INE486A01021,Equity,,,,,
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,Active,A ,10.00,INE085A01013,Equity,,,,,
500086,Exide Industries Ltd.,EXIDEIND,Exide Industries Ltd,Active,A ,1.00,INE302A01020,Equity,,,,,
500087,Cipla Ltd.,CIPLA,Cipla Ltd,Active,A ,2.00,INE059A01026,Equity,,,,,
500089,DIC India Ltd,DICIND,DIC India Ltd,Active,B ,10.00,INE303A01010,Equity,,,,,
500090,Madura Coats Ltd,MADUCOA,Madura Coats Ltd,Delisted,B ,10.00,INE122A01014,Equity,,,,,
500091,Core Healthcare ltd.,COREPARENT,Core Healthcare Ltd,Delisted,B ,10.00,INE494A01017,Equity,,,,,
500092,CRISIL Ltd.,CRISIL,Crisil Ltd,Active,A ,1.00,INE007A01025,Equity,,,,,
500093,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Active,A ,2.00,INE067A01029,Equity,,,,,
500094,C.T. Cotton Yarn Ltd.,CTCOTTON,CT Cotton Yarn Ltd,Delisted,XD,10.00,INE107D01019,Equity,,,,,
500095,Wyeth Ltd.,WYETH,Wyeth Ltd,Delisted,B ,10.00,INE378A01012,Equity,,,,,
500096,Dabur India Ltd.,DABUR,Dabur India Ltd,Active,A ,1.00,INE016A01026,Equity,,,,,
500097,Dalmia Bharat Sugar and Industries Ltd,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,B ,2.00,INE495A01022,Equity,,,,,
500098,Skyline NEPC Ltd,SKYLNEPC,Skyline NEPC Ltd,Delisted,B ,10.00,INE575B01011,Equity,,,,,
500099,Central India Polyesters Ltd.,CENTINPO,Central India Polyesters Ltd,Delisted,B ,10.00,INE496A01020,Equity,,,,,
500100,Daewoo Motors India Ltd.,DAEWOO,Daewoo Motors India Ltd,Delisted,XD,10.00,INE497A01010,Equity,,,,,
500101,Arvind Ltd.,ARVIND,Arvind Ltd,Active,A ,10.00,INE034A01011,Equity,,,,,
500102,Ballarpur Industries Ltd.,BALLARPUR,Ballarpur Industries Ltd,Suspended,Z ,2.00,INE294A01037,Equity,,,,,
500103,Bharat Heavy Electricals Ltd.,BHEL,Bharat Heavy Electricals Ltd,Active,A ,2.00,INE257A01026,Equity,,,,,
500104,Hindustan Petroleum Corporation Ltd,HINDPETRO,Hindustan Petroleum Corporation Ltd,Active,A ,10.00,INE094A01015,Equity,,,,,
500105,Indian Petrochemicals Corpn. Ltd.,IPCL,Indian Petrochemicals Corporation Ltd,Delisted,B ,10.00,INE006A01019,Equity,,,,,
500106,IFCI Ltd.,IFCI,IFCI Ltd,Active,A ,10.00,INE039A01010,Equity,,,,,
500107,Jindal Iron & Steel Co Ltd.,JINDALIRON,Jindal Iron & Steel Company Ltd,Delisted,B ,10.00,INE020A01010,Equity,,,,,
500108,Mahanagar Telephone Nigam Ltd.,MTNL,Mahanagar Telephone Nigam Ltd,Active,B ,10.00,INE153A01019,Equity,,,,,
500109,Mangalore Refinery & Petrochemicals,MRPL,Mangalore Refinery and Petrochemicals Ltd,Active,A ,10.00,INE103A01014,Equity,,,,,
500110,Chennai Petroleum Corporation Ltd.,CHENNPETRO,Chennai Petroleum Corporation Ltd,Active,A ,10.00,INE178A01016,Equity,,,,,
500111,Reliance Capital Limited,RELCAPITAL,Reliance Capital Ltd,Delisted,T ,10.00,INE013A01015,Equity,,,,,
500112,State Bank Of India,SBIN,State Bank of India,Active,A ,1.00,INE062A01020,Equity,,,,,
500113,Steel Authority of India Ltd.,SAIL,Steel Authority of India Ltd,Active,A ,10.00,INE114A01011,Equity,,,,,
500114,Titan Company Limited,TITAN,Titan Company Ltd,Active,A ,1.00,INE280A01028,Equity,,,,,
500115,Masterplus - 91 (Scheme of UTI)-OE.not.45507/00,MSTRP,MSTRP,Delisted,Z ,10.00,INF189A01061,Equity,,,,,
500116,IDBI Bank Ltd,IDBI,IDBI Bank Ltd,Active,A ,10.00,INE008A01015,Equity,,,,,
500117,DCW Ltd.,DCW,DCW Ltd,Active,B ,2.00,INE500A01029,Equity,,,,,
500119,Dhampur Sugar Mills Ltd.,DHAMPURSUG,Dhampur Sugar Mills Ltd,Active,B ,10.00,INE041A01016,Equity,,,,,
500120,Diamines & Chemicals Ltd.,DIAMINESQ,Diamines & Chemicals Ltd-$,Active,B ,10.00,INE591D01014,Equity,,,,,
500121,Digital Globalsoft Ltd.,DIGITAL,Digital GlobalSoft Ltd,Delisted,B ,10.00,INE124A01010,Equity,,,,,
500122,Ambuja Cement Rajasthan Ltd,AMBUJACEMR,Ambuja Cement Rajasthan Ltd,Delisted,Z ,10.00,INE125A01017,Equity,,,,,
500123,Elantas Beck India Ltd,ELANTAS,Elantas Beck India Ltd-$,Active,B ,10.00,INE280B01018,Equity,,,,,
500124,Dr. Reddy's Laboratories Ltd.,DRREDDY,Dr Reddys Laboratories Ltd,Active,A ,1.00,INE089A01031,Equity,,,,,
500125,E.I.D. Parry (India) Ltd.,EIDPARRY,EID Parry India Ltd,Active,A ,1.00,INE126A01031,Equity,,,,,
500126,PROCTER & GAMBLE HEALTH LIMITED,PGHL,Procter & Gamble Health Ltd,Active,A ,10.00,INE199A01012,Equity,,,,,
500127,Eastern Mining & Allied Ltd,ESTMNAL,Eastern Mining & Allied Industries Ltd,Delisted,P ,10.00,NA          ,Equity,,,,,
500128,Electrosteel Castings Ltd.,ELECTCAST,Electrosteel Castings Ltd,Active,A ,1.00,INE086A01029,Equity,,,,,
500129,"Elgi Auto Parts Ltd.,",ELAUPAR-BDM,Elgi Auto Parts Ltd,Delisted,Z ,10.00,NA          ,Equity,,,,,
500130,Elgi Finance Ltd.,ELGIF,Elgi Finance Ltd,Delisted,T ,10.00,INE424D01018,Equity,,,,,
500131,Elgitread (India)  Ltd.,ELGITR,Elgitread (India) Ltd,Delisted,B ,1.00,INE257B01024,Equity,,,,,
500132,Empee Sugars & Chemicals Ltd.,EMPEESUG,Empee Sugars & Chemicals Ltd,Suspended,Z ,10.00,INE928B01012,Equity,,,,,
500133,Esab India Ltd.,ESABINDIA,Esab India Ltd,Active,B ,10.00,INE284A01012,Equity,,,,,
500134,Essar Oil Ltd.,ESSAROIL,Essar Oil Ltd,Delisted,A ,10.00,INE011A01019,Equity,,,,,
500135,EPL LIMITED,EPL,EPL Ltd,Active,A ,2.00,INE255A01020,Equity,,,,,
500136,Ester Industries Ltd.,ESTER,Ester Industries Ltd,Active,B ,5.00,INE778B01029,Equity,,,,,
500138,Uniworth Textiles Ltd.,UNIWORTHT,Uniworth Textiles Ltd,Delisted,XT,10.00,INE486C01019,Equity,,,,,
500139,Fedders Electric and Engineering Limited,FEDDERELEC,Fedders Electric and Engineering Ltd,Delisted,Z ,10.00,INE249C01011,Equity,,,,,
500140,Femnor Mineral (India) Ltd.,FEMNORM-B,Femnor Mineral (India) Ltd,Delisted,Z ,10.00,NA          ,Equity,,,,,
500141,Ferro Alloys Corporation Ltd.,FERROALL,Ferro Alloys Corporation Ltd,Delisted,X ,1.00,INE912A01026,Equity,,,,,
500142,FGP Ltd,FGP,FGP Ltd,Active,X ,10.00,INE512A01016,Equity,,,,,
500143,P H CAPITAL LIMITED,PHCAP,PH Capital Ltd,Active,XT,10.00,INE160F01013,Equity,,,,,
500144,Finolex Cables Ltd.,FINCABLES,Finolex Cables Ltd,Active,A ,2.00,INE235A01022,Equity,,,,,
500145,First Leasing Co. of India Ltd.,FIRSTLEASE,First Leasing Company of India Ltd,Delisted,Z ,10.00,INE492B01019,Equity,,,,,
